Pumps,Report_Date,Angular / trust BRG damage,Radial BRG damaged,Bearing housing damaged,Bearing housing out of tolerance,Cracked slide bushings (or missing),Leaking seal,Fitting corrosion coupling,Cracked coupling,Aged coupling,Looseness of coupling,Lubrication problem,Cavitation,Excentricity,Damaged shaft,Damaged rotor,Winding shortcut,Conductor insulation damage,Cracked motorhousing,Stator damage,Damaged electrical connections
PBL2100B,6/24/1996,,,,,,,,,,,,,,,,,,,,
PBL2100B,11/19/1998,,,,,,,,,,,,,,,,,,,,
PBL2100B,04/02/2004,,,,,P,P,,,,,,,,P,,,,,,
PBL4100A,2/17/2005,P,P,P,,,P,,,,,P,,,P,,,,,,
PBL4100A,07/03/2005,P,P,,,,,,,,,P,P,,,,,,,,
PBL2100C,4/16/2007,,,,,,,,,,,,,,,,,,,,
PBL2100B,2/13/2007,,,,,,,,,,,,,,,,M,,,M,
PBL2100C,02/10/2008,,,,,,,,,,,,,,,,,,,,
PBL4100B,2/28/2008,,,,,,,,,,,,,,,,,,,,
PBL2100A,5/14/2008,,,,,P,P,,,,,,,,,,,,,,
PBL2100B,9/27/2008,P,P/M,P,,P,P,,,,,P,,,,,,,,,
PBL2100C,06/15/2009,,M,,,,,,,,,,,,M,M,,,,,
PBL5100A,12/17/2008,,,,,,,,,,,,,,,,,,,,
PBL4100B,5/31/2009,,,,,,,,,,,,,,,,M,,,,
PBL2100C,5/25/2009,,,,,P,,,,,,,,,P,,,,,,
PBL5100B,8/22/2011,,P,,,,,,,,,P,,,,,,,,,
PBL2100B,01/09/2012,,,,,,,,,,,,,,,M,,,,M,M
PBL4100B,2/14/2012,P,P,P,,P,,,,,,P,,,,,,,,,
PBL2100A,12/01/2012,,,,,P,,,C,,,,,,P,,,,,,
PBL2100B,12/03/2012,,,,,,,,,,,,,,,,M,,,,
PBL2100C,12/20/2013,M,,,,,,,,,,M,,M,,,,,,,
PBL4100A,03/01/2014,,,,,,,,,,,P,P,,P,,,,,,
PBL2100C,5/28/2015,,,,,,,,C,,,,,,P,,,,,,
PBL2100B,07/01/2015,,,M,,,,,,,,,,,,M,M,,,M,M
PBL5100B,07/12/2016,,P,,P/M,,,P,,P,,M,,P,,M,,,,M,
PBL5100A,9/14/2017,,,M,,,,,,C,,P/M,,,,M,,,,M,
PBL2100C,04/05/2017,P,P,,,,(P),,,,,P,,,,,,,,,
PBL2100C,06/01/2017,P,P,,,,,,,,,,,,,,,,,,
PBL2100A,10/09/2018,,M,M,,P,,,C,,,M,P,,P/M,P/M,M,,M,M,
PBL2100B,7/16/2018,,M,M,,,,,,,,M,,,,,M,M,,,
PBL2100B,7/16/2018,,P,,P,,P,,,,,P,,,,,,,,,
PBL5100A,5/31/2019,P,P,P,,P,P,P,P,,,P,,,P,,,M,,,
PBL4100A,03/10/2020,,,,,P,,,,,C,P/M,P,,,,,,,M,
PBL5100B,08/02/2020,P,,P,,,P,C,,,,,,,,,,,,M,
PBL2100B,04/06/2021,,,,,,,,,,,,,,,,,,,,
PBL4100A,,,,,,,P,,,,,,,,,,,,,,
